Title,Year Published,Rating,Length (Min)
Once Upon A Warrior (Anaganaga O Dheerudu),2011,PG-13,133
One and Only Genuine Original Family Band The,1968,G,110
One Little Indian,1973,G,90
One Magic Christmas,1985,G,88
One of Our Dinosaurs is Missing,1975,G,100
Operation Dumbo Drop,1995,PG,107
Other Me The,2000,G,90
Other Side of Heaven The,2001,PG,113
Oz: The Great and Powerful,2013,PG,130
Pacifier The,2005,PG,95
Parent Trap The,1961,NR,129
Parent Trap The (new),1998,PG,127
Pete's Dragon,1977,G,128
Peter Pan,1953,NR,77
Phantom of the Megaplex,2000,G,89
Phineas & Ferb: Across the 2nd Dimension,2011,G,78
Phineas and Ferb Movie,2013,,0
Piglet's Big Movie,2003,G,75
Pinocchio,1940,G,88
Pirate Fairy The,2014,G,90
Pirates of the Caribbean: At World's End,2007,PG-13,148
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,150
Pirates of the Caribbean: Dead Men Tell No Tales,2016,,0
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,136
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143
Pixel Perfect,2004,G,85
Planes,2013,PG,91
Planes: Fire Rescue,2014,NR,0
Pocahontas,1995,G,81
Pocahontas II: Journey to a New World,1998,G,72
Pollyanna,1960,G,134
Ponyo,2009,G,103
Poof Point The,2001,G,90
Pooh's Heffalump Halloween Movie,2005,G,67
Pooh's Heffalump Movie,2005,G,68
Popeye,1980,PG,114
Prince of Persia : Sands of Time,2010,PG,116
Princess and the Frog The,2009,G,97
Princess Diaries 2: Royal Engagement,2004,G,113
Princess Diaries The,2001,G,115
Princess Protection Program,2009,G,89
Prom,2011,PG,104
Proud Family Movie The,2005,G,90
Quints,2000,G,83
Race to Witch Mountain,2009,PG,98
Radio Rebel,2012,NR,89
Rascal,1969,G,85
Ratatouille,2007,G,110
Read It And Weep,2006,G,84
Ready to Run,2000,G,96
Recess: School's Out,2001,G,82
Reluctant Dragon The,1941,NR,74
Remember the Titans,2000,PG,113
Rescuers Down Under The,1990,G,77
Rescuers The,1977,G,78
Return from Witch Mountain,1978,G,95
Return to Halloweentown,2006,NR,88
Return to Never Land,2002,G,72
Return to Oz,1985,PG,113
Return to Snowy River,1988,PG,110
Ride A Wild Pony,1975,G,91
Right On Track,2003,G,89
Ring of Endless Light A,2002,G,88
Rip Girls,2000,G,87
Rob Roy: The Highland Rogue,1953,NR,91
Robin Hood,1973,G,83
Rocket Man,1997,PG,95
Rocketeer,1991,PG,108
Rookie The,2002,G,127
Rudyard Kipling's The Jungle Book,1994,PG,111
Run Cougar Run,1972,G,87
Saludos Amigos,1943,NR,75
Santa Buddies,2009,G,88
Santa Clause 2: The Mrs. Clause,2002,G,105
Santa Clause 3: The Escape Clause,2006,G,98
Santa Clause The,1994,PG,97
Santa Paws 2: The Santa Pups,2012,G,88
Savage Sam,1963,NR,103
Saving Mr. Banks,2013,PG-13,125
Scandalous John,1971,NR,113
Scream Team The,2002,G,100
Search for Santa Paws The,2010,G,88
Secret of the Magic Gourd The,2007,G,85
Secret World of Arrietty The,2012,G,94
Secretariat,2010,PG,123
Shaggy D.A. The,1976,G,91
Shaggy Dog The,2006,PG,98
Sharpay's Fabulous Adventure,2011,G,89
Shipwrecked,1990,PG,92
Sign of Zorro The,1960,NR,91
Sky High,2005,PG,100
Sleeping Beauty,1959,G,75
Smart House,1999,G,90
Smith!,1969,G,112
Smoke,1970,NR,80
Snow Buddies,2008,G,87
Snow Dogs,2002,PG,95
Snow White and the Seven Dwarfs,1937,NR,83
Snowball Express,1972,NR,93
So Dear to My Heart,1948,G,82
Sofia the First: Once Upon a Princess,2012,G,90
Something Wicked This Way Comes,1983,PG,95
